Old_id,New_Id
1086,1349
5887,1029
5686,1037
4255,2137
5740,1527
3302,1276
5874,5818
5285,1891
4654,891
4916,1521
5410,2646
2781,2522
3744,1826
1016871,5916
6834,6449
1935,1812
5863,6580
6685,6317
6387,6608
5563,6866
6501,5603
5576,5250
3630,6383
3145,2741
2870,1362
5641,1362
6807,3289
5598,4650
6231,6833
6091,5925
5448,4498
2963,904
4427,4919
3913,5715
5429,3056
5927,5919
6885,4610
1016935,1905
5942,6277
6663,5710
5591,3643
6575,5256
6831,987
4504,4368
4235,4368
2658,1474
4264,2443
4053,3993
5688,5553
2100,1300
4052,3838
5664,6766
1987,2080
5501,1545
6520,5423
1113,2353
4904,5613
3385,872
2693,40
2178,1352
4114,2886
5607,5470
4284,2622
3027,1813
4373,3669
3069,3210
2854,2627
4630,4665
3310,2098
2054,1919
3080,2720
4998,5594
6727,5608
3388,5730
